id;user_id;product_id;total;quantity
4d3e10d5-8bd5-4123-b319-7f942210b022;c867e58e-4345-4bcd-95b9-532cabd40a3b;29d6de8e-966c-411d-9f13-63a0f15be365;51649;89732
548937aa-77c3-4c91-b69c-857e3a8f48fd;a45da4be-dd72-4816-b031-e7b652498768;5bb0e7a4-1768-4bc4-9223-b30880bce9d3;99691;76981
a781777c-47e9-41e4-ad78-2d61aa011210;0e77793a-c3b3-434f-9872-889068f19815;beabcfa2-0ac0-4557-9b1a-870867fa472c;39271;46017
fb5c325a-4055-478e-b986-b23ccb4fab78;96585010-185d-46ea-a498-8840c4c21bf6;14206020-3cc9-41c6-8282-16c8e1a85488;11422;85474
30f49e06-8561-442c-a0cb-fd28d68c3320;180e87de-6026-4b19-a2af-e889d7df6b10;4e9cd398-1f8a-4679-80ac-e2ed94687849;65617;61265
b8f1f12f-ebed-4ea4-b03f-a6d4799781fe;5ca96d05-2f1c-4d78-948d-dfbfd88e40c3;e520eaa2-211b-4963-9eec-8c3422ca5617;36007;2479
95fb71cc-489e-4cdf-b712-7979e98c9385;0fd8b7a7-37f6-4867-ba9a-b02b29c7051a;916cf2c9-8e5c-42c6-af37-ef7f68a3d406;30855;4966
b58f5dcb-837e-40c1-82eb-e110e4c9cfde;e5082a92-dd0d-4225-8913-cd38b77feb5c;9b3adf47-cf75-4bf6-9db5-a02c370708f1;55785;17110
60dab5da-2ace-4c33-a811-795567e4d11d;4231d3e0-e9a4-4480-8b73-5c86a1cd221d;41d310f3-27e2-4228-930f-4f7aef3a75d6;35327;16110
d43ae139-da72-4f9c-834c-590c28778499;78fcb11b-6030-4f6b-b9ce-7cb420c3547e;f1299ccd-d035-4ac2-bae7-3d50bbfd69c2;62672;28310
